City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Talcahuano,CL,-36.7167,-73.1167,71.28,60,40,17.27,scattered clouds
81,Clyde River,CA,70.4692,-68.5914,-14.57,64,75,6.91,light snow
82,Silver City,US,32.7701,-108.2803,44.56,50,100,5.75,overcast clouds
83,Balabac,PH,7.9868,117.0645,80.6,77,9,3.42,clear sky
84,Ulaangom,MN,49.9811,92.0667,-24.12,93,89,3.53,overcast clouds
85,Katsuura,JP,35.1333,140.3,41.18,65,100,11.12,overcast clouds
86,Dodoma,TZ,-6.1722,35.7395,67.32,91,72,5.59,light rain
87,Mar Del Plata,AR,-38.0023,-57.5575,86.02,56,0,20.0,clear sky
88,Caravelas,BR,-17.7125,-39.2481,87.22,61,87,12.86,overcast clouds
89,Eucaliptus,BO,-17.5833,-67.5167,58.69,61,99,8.37,overcast clouds
90,Natal,BR,-5.795,-35.2094,88.45,66,40,17.27,scattered clouds
91,Constitucion,CL,-35.3333,-72.4167,70.2,57,2,16.58,clear sky
92,Hermanus,ZA,-34.4187,19.2345,87.91,65,28,19.37,scattered clouds
93,Martapura,ID,-3.4167,114.85,78.89,89,100,5.75,overcast clouds
94,Kushva,RU,58.2906,59.7592,2.73,98,100,1.12,overcast clouds
95,Airai,TL,-8.9266,125.4092,61.36,94,96,3.67,overcast clouds
96,Naryan-Mar,RU,67.6713,53.087,12.31,92,100,13.56,overcast clouds
97,Buraydah,SA,26.326,43.975,63.05,34,38,16.17,scattered clouds
98,Tautira,PF,-17.7333,-149.15,73.42,76,92,9.86,light rain
99,Faanui,PF,-16.4833,-151.75,79.77,73,68,6.87,light rain
100,Cherskiy,RU,68.75,161.3,-26.1,98,86,4.99,overcast clouds
101,Comodoro Rivadavia,AR,-45.8667,-67.5,62.46,20,40,17.27,scattered clouds
102,Kawalu,ID,-7.3817,108.2082,72.55,97,100,1.48,light rain
103,Kruisfontein,ZA,-34.0033,24.7314,74.88,82,82,14.38,broken clouds
104,Saint George,US,37.1041,-113.5841,49.35,31,0,3.0,clear sky
105,Methoni,GR,36.8197,21.7049,52.21,64,17,14.52,few clouds
106,New Norfolk,AU,-42.7826,147.0587,56.66,76,2,2.01,clear sky
107,Kupang,ID,-10.1667,123.5833,81.18,89,75,6.91,broken clouds
108,Belgrade,RS,44.804,20.4651,47.7,62,20,4.0,few clouds
109,Abu Samrah,SY,35.3029,37.1841,45.07,71,68,6.87,broken clouds
110,Nouadhibou,MR,20.931,-17.0347,69.78,64,96,14.97,overcast clouds
111,Punta Umbria,ES,37.1821,-6.9661,59.23,47,67,1.23,broken clouds
112,Guebwiller,FR,47.9167,7.2,43.27,82,38,1.1,scattered clouds
113,Arraial Do Cabo,BR,-22.9661,-42.0278,87.76,62,40,4.61,scattered clouds
114,Yellowknife,CA,62.456,-114.3525,-14.28,76,100,10.36,light snow
115,Ampanihy,MG,-24.7,44.75,73.58,63,84,12.03,broken clouds
116,Vaini,TO,-21.2,-175.2,80.46,77,100,11.88,overcast clouds
117,Road Town,VG,18.4167,-64.6167,82.49,65,40,10.36,scattered clouds
118,Taldan,RU,53.6667,124.8,-5.93,87,55,4.99,broken clouds
119,Austin,US,30.2672,-97.7431,64.67,46,0,5.99,clear sky
120,Avera,US,33.194,-82.5271,53.44,32,0,16.02,clear sky
121,Ust-Kuyga,RU,70.0167,135.6,-31.77,99,98,5.95,overcast clouds
122,Abriaqui,CO,6.6315,-76.0644,70.07,49,67,2.71,broken clouds
123,Port Hardy,CA,50.6996,-127.4199,39.76,100,100,4.61,light rain
124,Adrar,MR,20.5022,-10.0711,82.49,10,100,10.87,overcast clouds
125,Acajutla,SV,13.5928,-89.8275,84.79,40,3,6.87,clear sky
126,Pano Polemidia,CY,34.7,33.0,52.47,93,75,6.91,broken clouds
127,Kharan,PK,28.5833,65.4167,62.06,34,0,4.52,clear sky
128,Birjand,IR,32.8663,59.2211,36.07,27,0,0.0,clear sky
129,Batticaloa,LK,7.7102,81.6924,78.26,85,29,9.95,scattered clouds
130,Hamilton,US,39.1834,-84.5333,37.08,57,0,3.0,light rain
131,Aberdeen,GB,57.1437,-2.0981,41.49,87,75,17.27,moderate rain
132,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,80,20,4.0,few clouds
133,Ozernovskiy,RU,51.5,156.5167,23.56,94,100,3.51,light snow
134,Hilo,US,19.7297,-155.09,66.79,74,40,3.44,scattered clouds
135,Hanna,CA,51.6334,-111.9018,24.37,80,41,3.6,scattered clouds
136,Tateyama,JP,34.9833,139.8667,41.09,54,100,14.56,overcast clouds
137,Prienai,LT,54.6333,23.95,32.27,95,100,23.76,light snow
138,Biltine,TD,14.5333,20.9167,70.9,12,15,11.18,few clouds
139,Almaty,KZ,43.25,76.95,22.91,93,40,4.47,fog
140,Bengkulu,ID,-3.8004,102.2655,76.51,92,100,4.76,moderate rain
141,Port Lincoln,AU,-34.7333,135.8667,66.16,84,1,10.69,clear sky
142,Yar-Sale,RU,66.8333,70.8333,-1.68,96,100,7.92,overcast clouds
143,Ca Mau,VN,9.1769,105.15,74.89,88,99,4.59,overcast clouds
144,Richards Bay,ZA,-28.783,32.0377,75.06,74,40,8.77,scattered clouds
145,Vanavara,RU,60.34,102.2797,-16.55,100,99,1.66,overcast clouds
146,Hithadhoo,MV,-0.6,73.0833,81.97,69,100,8.43,overcast clouds
147,Chumikan,RU,54.7183,135.315,-0.17,82,100,17.0,overcast clouds
148,Poum,NC,-20.2333,164.0167,79.7,79,99,7.94,overcast clouds
149,Birao,CF,10.2849,22.7882,75.02,15,30,5.91,scattered clouds
150,Torbay,CA,47.6666,-52.7314,47.75,90,100,26.46,overcast clouds
151,Lang Son,VN,21.8333,106.7333,47.25,91,100,5.21,overcast clouds
152,East London,ZA,-33.0153,27.9116,76.14,83,0,14.97,clear sky
153,Luderitz,NA,-26.6481,15.1594,69.71,75,68,10.63,broken clouds
